排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
486,6170,統振,51.2,2025,31.9,9.65,9.98,15.3,4.37,32.4,31.3,1.53,13.7,2.39,4.49,1.1,21.3,4.47,9.9,2.22,53
487,4977,眾達-KY,235.5,2025,10.7,-1.54,2.68,10.3,3.53,34.2,25.0,2.68,32.9,9.0,4.48,1.2,8.91,2.2,7.16,2.05,62
488,5515,建國,41.2,2025,71,15.9,11.8,48.8,9.04,32.5,16.6,3.68,12.7,1.6,4.48,1.57,17.7,3.8,8.99,1.05,55
489,8341,日友,76.3,2025,39.9,7.95,17.2,10.0,5.83,21.4,43.2,0.82,17.2,2.15,4.48,0.79,12.0,1.79,6.67,1.34,64
490,5243,乙盛-KY,124.0,2025,121,-7.74,25.7,2.0,7.41,30.9,21.3,2.04,6.14,1.81,4.4,1.04,9.34,1.8,5.56,1.01,55
491,6741,91APP*-KY,63.7,2025,18.1,11.6,13.4,11.3,5.08,1.95,74.2,-0.16,28.2,-2.53,4.4,0.18,15.8,-0.59,10.1,-0.68,77
492,3037,欣興,643.0,2025,"1,312",13.8,183,12.1,66.7,31.3,13.9,-0.2,5.75,0.94,4.38,1.04,7.31,1.64,3.1,0.62,47
493,6245,立端,82.8,2025,71.9,-3.53,22.8,-14.3,6.42,-27.9,31.7,-3.97,8.93,-3.02,4.38,-1.72,10.4,-4.65,7.1,-2.72,53
494,8028,昇陽半導體,187.0,2025,45.1,27.0,15.3,50.0,7.57,53.8,34.0,5.22,16.8,2.93,4.37,1.52,16.4,4.19,6.96,1.72,57
495,1423,利華,40.4,2025,0.85,-18.2,-0.12,58.4,4.34,437.0,-13.5,13.1,508.0,431.0,4.36,3.55,12.6,9.92,11.8,9.32,60
496,2476,鉅祥,115.0,2025,74.5,12.7,22.8,6.09,9.29,-12.8,30.6,-1.9,14.1,-4.06,4.36,-0.82,11.4,-3.97,8.26,-2.59,66
497,2493,揚博,141.0,2025,37.7,3.03,11.4,-7.54,5.53,-20.2,30.3,-3.47,14.7,-4.27,4.36,-1.69,17.3,-5.24,11.3,-3.46,62
498,6284,佳邦,88.9,2025,76.2,3.44,18.8,-7.22,6.42,-34.8,24.7,-2.84,8.35,-4.95,4.36,-2.25,8.39,-5.12,4.66,-3.0,47
499,3605,宏致,65.6,2025,109,11.1,28.2,21.6,6.61,92.2,26.0,2.24,6.09,2.56,4.35,1.84,9.19,3.31,4.65,1.98,49
500,6913,鴻呈,125.5,2025,26.3,21.7,7.14,20.5,1.9,2.14,27.1,-0.27,7.74,-1.38,4.34,-0.44,12.6,-2.28,7.68,-1.55,45
501,1210,大成,54.2,2025,"1,012",-1.49,149,0.43,36.2,2.69,14.7,0.28,4.24,-0.06,4.33,0.12,12.3,-1.06,5.84,-0.68,47
502,2049,上銀,291.0,2025,243,-0.53,69.8,-3.32,15.3,-22.6,28.8,-0.83,5.81,-1.83,4.31,-1.26,3.78,-1.38,2.6,-0.92,51
503,2441,超豐,88.4,2025,168,10.2,33.9,0.84,24.5,-1.89,20.2,-1.87,14.6,-1.8,4.31,-0.08,10.5,-0.84,9.05,-0.82,66
504,2606,裕民,65.0,2025,156,-4.75,44.8,-14.1,36.4,-22.2,28.8,-3.14,23.4,-5.17,4.31,-1.23,9.18,-3.39,4.15,-1.38,57
