排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
735,2064,晉椿,04/17,11.75,+0.1,+0.86,2024,年,0,0,0,,0,,0,0,,,
736,2065,世豐,04/17,30.75,-0.35,-1.13,2024,季,3.358,0,3.358,53.3,5.29,,0,5.29,'24/12/24,,'25/01/20
737,2066,世德,04/17,46.3,-1.35,-2.83,2024,半年,3.778,0,3.778,107,3.53,,0,3.53,'24/10/03,,
738,2067,嘉鋼,04/17,7.21,-0.02,-0.28,2024,年,0,0,0,,0,,0,0,,,
739,2069,運錩,04/17,18.5,0,0,2024,年,0.5,0,0.5,16.45,3.04,,0,3.04,'24/06/28,,'24/07/26
740,2070,精湛,04/17,45.65,+4.15,+10,2024,半年,2.5,0,2.5,84.5,4.98,,0,4.98,'24/08/28,,'24/09/24
741,2072,世紀風電,04/17,181,-4,-2.16,2024,年,3,0,3,341,0.88,,0,0.88,'24/09/05,,'24/09/26
742,2073,雄順,04/17,26.9,-0.05,-0.19,2024,年,0.6,0,0.6,30.65,1.96,,0,1.96,'24/07/24,,'24/08/16
743,2101,南港,04/17,35.65,-0.8,-2.19,2024,半年,0,0,0,,0,,0,0,,,
744,2102,泰豐,04/17,18.9,-0.3,-1.56,2024,半年,0,0,0,,0,,0,0,,,
745,2103,台橡,04/17,19.05,-0.3,-1.55,2024,年,0.56,0,0.56,23.65,2.37,,0,2.37,'24/07/04,,'24/07/25
746,2104,國際中橡,04/17,11.45,-0.05,-0.43,2024,年,0,0,0,,0,,0,0,,,
747,2105,正新,04/17,32.65,-0.05,-0.15,2024,年,2,0,2,61.5,3.25,,0,3.25,'24/06/05,,'24/07/10
748,2106,建大,04/17,18.6,-0.05,-0.27,2024,年,1,0,1,33.95,2.95,,0,2.95,'24/06/17,,'24/07/12
749,2107,厚生,04/17,26.05,-0.05,-0.19,2024,年,1.3,0,1.3,26.95,4.82,,0,4.82,'24/07/01,,'24/07/23
750,2108,南帝,04/17,26.05,+0.05,+0.19,2024,年,1,0,1,34.2,2.92,,0,2.92,'24/03/28,,'24/04/26
751,2109,華豐,04/17,14.7,-0.05,-0.34,2024,半年,1.5,0,1.5,19.55,8.09,,0,8.09,'24/09/19,,'24/10/21
752,2114,鑫永銓,04/17,88.9,-0.4,-0.45,2024,年,5,0,5,111,4.5,,0,4.5,'24/05/31,,'24/07/01
753,2115,六暉-KY,04/17,21.7,+0.1,+0.46,2024,年,1,0.5,1.5,33.8,2.96,33.8,1.48,4.44,'24/07/16,'24/07/16,'24/08/16
754,2201,裕隆,04/17,26.75,-0.5,-1.83,2024,年,1.4,0,1.4,55,2.55,,0,2.55,'24/08/22,,'24/09/27
755,2204,中華,04/17,54.5,-0.5,-0.91,2024,年,6,0,6,129,4.65,,0,4.65,'24/07/18,,'24/08/21
756,2206,三陽工業,04/17,58.6,-0.2,-0.34,2024,半年,3,0,3,78.2,3.84,,0,3.84,'24/07/24,,'24/08/29
757,2207,和泰車,04/17,515,-1,-0.19,2024,年,20,0,20,640,3.12,,0,3.12,'24/06/20,,'24/07/10
758,2208,台船,04/17,21.1,+0.3,+1.44,2024,年,0,0,0,,0,,0,0,,,
759,2211,長榮鋼,04/17,100,-0.5,-0.5,2024,年,6.5,0,6.5,140.5,4.63,,0,4.63,'24/07/16,,'24/08/08
760,2221,大甲,04/17,32.15,+0.45,+1.42,2024,年,1.3,0,1.3,31.8,4.09,,0,4.09,'24/07/17,,'24/08/09
761,2227,裕日車,04/17,55.5,+0.5,+0.91,2024,年,3.48,0,3.48,122.5,2.84,,0,2.84,'24/08/27,,'24/09/25
762,2228,劍麟,04/17,90.5,-0.1,-0.11,2024,年,5,0,5,108,4.63,,0,4.63,'24/07/17,,'24/08/09
763,2231,為升,04/17,126.5,-1.5,-1.17,2024,年,3,0,3,129,2.33,,0,2.33,'24/06/18,,'24/07/04
764,2233,宇隆,04/17,231.5,0,0,2024,年,5.3,0,5.3,131.5,4.03,,0,4.03,'24/07/31,,'24/08/28
765,2235,謚源,04/17,32.55,-0.05,-0.15,2024,年,2.5,0,2.5,51.8,4.83,,0,4.83,'24/07/11,,'24/08/09
766,2239,英利-KY,04/17,24,+0.45,+1.91,2024,年,0.66,0,0.66,52,1.27,,0,1.27,'24/07/10,,'24/08/12
767,2241,艾姆勒,04/17,28.45,+0.55,+1.97,2024,年,0,0,0,,0,,0,0,,,
768,2243,宏旭-KY,04/17,23.6,+0.4,+1.72,2024,年,0,0,0,,0,,0,0,,,
769,2247,汎德永業,04/17,234.5,-1.5,-0.64,2024,年,18,0,18,324,5.56,,0,5.56,'24/06/24,,'24/07/19
770,2248,華勝-KY,04/17,54.3,+1.5,+2.84,2024,年,0.936,0,0.936,52.4,1.79,,0,1.79,'24/08/27,,'24/09/20
771,2254,巨鎧精密-創,04/17,70.5,+0.9,+1.29,2024,半年,0,0,0,,0,,0,0,,,
772,2258,鴻華先進-創,04/17,28.3,+0.05,+0.18,2024,年,0,0,0,,0,,0,0,,,
773,2301,光寶科,04/17,162,+1,+0.62,2024,季,4.506,0,4.506,108,3.93,,0,3.93,'24/08/19,,'24/09/06
774,2302,麗正,04/17,19.4,+1.1,+6.01,2024,年,0.31,0,0.31,18.7,1.66,,0,1.66,'24/07/12,,'24/07/31
775,2303,聯電,04/17,73,+4.7,+6.88,2024,年,3,0,3,56.9,5.27,,0,5.27,'24/07/02,,'24/07/24
776,2305,全友,04/17,17.7,-0.05,-0.28,2024,年,0,0,0,,0,,0,0,,,
777,2308,台達電,04/17,1840,-5,-0.27,2024,年,6.43,0,6.43,352,1.83,,0,1.83,'24/06/18,,'24/07/18
778,2312,金寶,04/17,24.55,-1.15,-4.47,2024,年,0.3,0,0.3,18.25,1.64,,0,1.64,'24/07/04,,'24/08/02
779,2313,華通,04/17,261.5,+1.5,+0.58,2024,年,1.5,0,1.5,73.2,2.05,,0,2.05,'24/06/03,,'24/06/27
780,2314,台揚,04/17,15.45,+1.4,+9.96,2024,年,0,0,0,,0,,0,0,,,
781,2316,楠梓電,04/17,114.5,0,0,2024,年,0.5,0,0.5,56,0.89,,0,0.89,'24/07/08,,'24/07/31
782,2317,鴻海,04/17,206,-1,-0.48,2024,年,5.4,0,5.4,216,2.5,,0,2.5,'24/07/02,,'24/07/31
783,2321,東訊,04/17,13.3,-0.05,-0.37,2024,年,0,0,0,,0,,0,0,,,
784,2323,中環,04/17,10.75,-0.15,-1.38,2024,年,0.68,0,0.68,12.9,5.27,,0,5.27,'24/09/04,,'24/10/07
785,2324,仁寶,04/17,30.35,+0.95,+3.23,2024,年,1.2,0,1.2,38.3,3.13,,0,3.13,'24/03/29,,'24/04/26
786,2327,國巨*,04/17,316.5,-8.5,-2.62,2024,半年,19.97,1.948,21.92,763,2.62,745,0.26,2.88,'24/06/27,'24/08/15,'24/07/19
787,2328,廣宇,04/17,45.6,+0.3,+0.66,2024,年,1.3,0,1.3,36.15,3.6,,0,3.6,'24/08/30,,'24/09/25
788,2329,華泰,04/17,61.5,+1,+1.65,2024,年,1.189,0,1.189,61.1,1.95,,0,1.95,'24/06/26,,'24/07/24
789,2330,台積電,04/17,2030,-55,-2.64,2024,季,15,0,15,1045,1.68,,0,1.68,'24/12/12,,'25/01/09
790,2331,精英,04/17,21.8,-0.35,-1.58,2024,半年,1,0,1,30.45,3.28,,0,3.28,'24/07/29,,
791,2332,友訊,04/17,15.35,-0.1,-0.65,2024,年,0.536,0,0.536,18.85,2.84,,0,2.84,'24/05/29,,'24/06/28
792,2337,旺宏,04/17,131,-8,-5.76,2024,年,0.5,0,0.5,27.45,1.82,,0,1.82,'24/06/24,,'24/07/29
793,2338,光罩,04/17,50.9,+4.55,+9.82,2024,年,1.5,0,1.5,64.6,2.32,,0,2.32,'24/09/02,,'24/09/27
794,2340,台亞,04/17,32.3,+0.05,+0.16,2024,年,0.5,0,0.5,43.1,1.16,,0,1.16,'24/07/11,,'24/08/13
795,2342,茂矽,04/17,30.5,+0.45,+1.5,2024,半年,0,0,0,,0,,0,0,,,
796,2344,華邦電,04/17,87.8,-1.8,-2.01,2024,半年,0,0,0,,0,,0,0,,,
797,2345,智邦,04/17,2070,+35,+1.72,2024,年,9.996,0,9.996,510,1.96,,0,1.96,'24/07/31,,'24/08/30
798,2347,聯強,04/17,83.9,+1.7,+2.07,2024,年,3,0,3,84.3,3.56,,0,3.56,'24/06/24,,'24/07/19
799,2348,海悅,04/17,77.5,-1,-1.27,2024,年,6.942,2.975,9.917,369.5,1.88,369.5,0.81,2.68,'24/07/30,'24/07/30,'24/09/02
801,2349,錸德,04/17,13.75,-0.4,-2.83,2024,年,0,0,0,,0,,0,0,,,
802,2351,順德,04/17,129,+7,+5.74,2024,年,2.6,0,2.6,119,2.18,,0,2.18,'24/08/01,,'24/08/30
803,2352,佳世達,04/17,25.65,+0.4,+1.58,2024,年,1.2,0,1.2,37.8,3.17,,0,3.17,'24/07/25,,'24/08/23
804,2353,宏碁,04/17,28.7,+0.3,+1.06,2024,年,1.6,0,1.6,49.5,3.23,,0,3.23,'24/06/20,,'24/07/29
805,2354,鴻準,04/17,51.6,-1,-1.9,2024,年,1.5,0,1.5,70.4,2.13,,0,2.13,'24/07/02,,'24/07/31
806,2355,敬鵬,04/17,52.1,+0.3,+0.58,2024,年,1.25,0,1.25,45.5,2.75,,0,2.75,'24/07/29,,'24/08/23
807,2356,英業達,04/17,45.75,+0.75,+1.67,2024,年,1.5,0,1.5,57,2.63,,0,2.63,'24/07/11,,'24/08/13
808,2357,華碩,04/17,599,+10,+1.7,2024,年,17,0,17,490,3.47,,0,3.47,'24/07/03,,'24/07/29
809,2359,所羅門,04/17,115,0,0,2024,半年,1.7,0,1.7,163,1.04,,0,1.04,'24/07/10,,'24/07/26
810,2360,致茂,04/17,2255,+205,+10,2024,年,6.6,0,6.6,295.5,2.23,,0,2.23,'24/06/12,,'24/07/05
811,2362,藍天,04/17,38.35,+0.05,+0.13,2024,年,1.6,0,1.6,55.2,2.9,,0,2.9,'24/06/19,,'24/07/15
812,2363,矽統,04/17,54.4,+1.1,+2.06,2024,年,0.3,0,0.3,56.5,0.53,,0,0.53,'24/07/01,,'24/07/31
813,2365,昆盈,04/17,34.9,+0.6,+1.75,2024,季,0.3,0,0.3,64.3,0.47,,0,0.47,'24/07/25,,'24/08/15
814,2367,燿華,04/17,68.5,-1.9,-2.7,2024,年,0,0,0,,0,,0,0,,,
815,2368,金像電,04/17,1175,+10,+0.86,2024,年,3.5,0,3.5,201,1.74,,0,1.74,'24/06/27,,'24/07/29
