股號	股名	年份	紀念品
3131	弘塑	2025	伊莎貝爾歐風精華皂
3138	耀登	2025	心想事成 手工串皂
3141	晶宏	2025	食器洗滌液
3149	正達	2025	潔膚皂
3163	波若威	2025	7-11商品卡50元
3169	亞信	2025	超商商品禮物卡 $50
3176	基亞	2025	收納小包
3205	佰研	2025	Biotta百奧維他果汁1瓶(口味隨機出貨)
3206	志豐	2025	木質手機座
3209	全科	2025	旅行收納袋三入組
3211	順達	2025	7-11商品卡50元
3213	茂訊	2025	三入微波保鮮盒
3221	台嘉碩	2025	USB小燈暫時改發圓形多功能數據線收納盒
3221	台嘉碩	2025	圓形多功能數據線收納盒
3227	原相	2025	Luminarc 20cm晶鑽浮雕白玉深盤
3228	金麗科	2025	全家禮物卡50元
3230	錦明	2025	錦明股東專屬會員卡
3234	光環	2025	收納袋
3236	千如	2025	木質手機座
3260	威剛	2025	7-11商品卡50元
3264	欣銓	2025	24合1磁吸螺絲刀工具組
3268	海德威	2025	宜睿好禮即享券A版35元
3276	宇環	2025	7-11商品卡50元
3289	宜特	2025	7-11商品卡50元
3290	東浦	2025	全家經典中杯美式咖啡券
3305	昇貿	2025	7-11商品卡35元
3306	鼎天	2025	Give U指甲剪刨光套組
3312	弘憶股	2025	7-11商品卡35元
3312	弘憶股(臨)	2025	7-11商品卡35元
3317	尼克森	2025	高露潔旅行牙膏組
3321	同泰	2025	全家禮物卡50元
3322	建舜電	2025	7-11商品卡35元
3323	加百裕(臨)	2025	7-11商品卡100元
3323	加百裕	2025	黃麻環保購物袋
3324	雙鴻	2025	全家禮物卡50元
3325	旭品	2025	7-11商品卡50元
3338	泰碩	2025	全家禮物卡50元
3339	泰谷	2025	7-11中杯美式或現萃茶提貨卡
3346	麗清	2025	蜂王清新植感草本皂70克二入
3356	奇偶	2025	7-11中杯美式或現萃茶提貨卡
3360	尚立	2025	旅香咖啡濾掛禮盒
3363	上詮	2025	全家禮物卡35元
3372	典範	2025	7-11商品卡35元
3373	熱映	2025	蜂王清新植感草本皂70克三入
3376	新日興	2025	5合1工具組
3379	彬台	2025	伊莎貝爾櫻花沐浴皂75克二入
3390	旭軟	2025	全家禮物卡50元
3402	漢科	2025	伊莎貝爾無患子洗手乳250ml
3406	玉晶光	2025	7-11商品卡50元
3419	譁裕	2025	伊莎貝爾歐風精華皂
3430	奇鈦科	2025	全家禮物卡35元
3437	榮創	2025	茶山房3入串皂
3438	類比科	2025	7-11商品卡50元
3441	聯一光	2025	數據線收納包
3450	聯鈞	2025	多功能廚用剪刀刨絲刀組
3455	由田	2025	7-11商品卡50元
3466	德晉	2025	全家禮物卡50元
3479	安勤	2025	全家經典中杯美式咖啡券(期限20270630)
3481	群創	2025	友善白米1公斤
3483	力致	2025	沙威隆經典抗菌香皂80克二入
3484	崧騰	2025	可立式藍芽自拍棒
3490	單井	2025	蜂王清新植感草本皂70克二入
3498	陽程	2025	全家禮物卡50元
3499	環天科	2025	全家禮物卡35元
3508	位速	2025	7-11商品卡50元
3518	柏騰	2025	黃麻環保購物袋
3520	華盈	2025	全家禮物卡35元
3521	鴻翊	2025	滋補強身 甲魚全沛膠囊
3522	御頂	2025	御嵿集團品牌優惠券
3526	凡甲	2025	蜂王清新植感草本皂60克二入
3527	聚積	2025	紅色保鮮袋
3535	晶彩科	2025	金安德森堅紋方口玻璃碗
3537	堡達	2025	全家禮物卡35元
3540	曜越	2025	7-11商品卡35元
3541	西柏	2025	莫蘭迪色鋼筆
3543	州巧	2025	沙威隆經典抗菌香皂80克二入
3545	敦泰	2025	7-11商品卡50元
3546	宇峻	2025	安妮兔抽取超細纖維萬用布10抽
3548	兆利	2025	7-11商品卡50元
3550	聯穎	2025	7-11商品卡35元
3552	同致	2025	7-11商品卡50元
3556	禾瑞亞	2025	7-11商品卡35元
3563	牧德	2025	宜睿好禮即享券50元
3563	牧德(臨)	2025	宜睿好禮即享券50元
3567	逸昌	2025	收納袋
3576	聯合再生	2025	7-11商品卡35元
3580	友威科	2025	7-11商品卡50元
3588	通嘉	2025	7-11中杯美式或現萃茶提貨卡
3591	艾笛森	2025	7-11商品卡20元
3592	瑞鼎	2025	7-11商品卡50元
3593	力銘	2025	7-11商品卡35元
3593	力銘(臨)	2025	7-11商品卡50元
3605	宏致	2025	環保袋(宏致)
3607	谷崧	2025	全家經典中杯美式咖啡券(期限20280630)
3615	安可	2025	除霉凝膠
3624	光頡	2025	伊莎貝爾無患子洗手乳250ml
3625	西勝	2025	5合1工具組
3627	華信科	2025	全家禮物卡35元
3632	研勤	2025	穗美人 白米300克
3645	達邁	2025	全家禮物卡50元
3646	艾恩特	2025	7-11商品卡35元
3666	光耀(臨)	2025	7-11商品卡50元
3673	TPK-KY	2025	全家禮物卡50元
3686	達能	2025	全家禮物卡35元
3687	歐買尬	2025	7-11中杯美式或現萃茶提貨卡
3689	湧德	2025	三用觸控螢光原子筆
3693	營邦	2025	7-11商品卡50元
3702	大聯大	2025	全家禮物卡50元
3706	神達	2025	坎佩尼亞1.7長麵
3707	漢磊	2025	凱得舒口腔舒適凝露旅行組
3708	上緯投控(臨)	2025	7-11商品卡50元
3708	上緯投控	2025	7-11商品卡35元
3710	連展投控	2025	銅離子立體口罩
3711	日月光投控	2025	三入微波保鮮盒
3714	富采	2025	Ennostar x 黃阿瑪的後宮生活聯名不鏽鋼雙層碗
3715	定穎投控	2025	桃園自閉症協進會 龍忠工坊 手工皂
3716	中化控股	2025	綠的抗菌旅行組合
4102	永日	2025	常寶益生菌顆粒包
4104	佳醫	2025	CureCare安炫曜水光保濕精華面膜
4105	東洋	2025	倍力莓
4108	懷特	2025	卡樂芙泡沫染髮劑 芒果奶酪金棕/楓糖紅棕 隨機出貨
4109	加捷生醫	2025	滋補強身 甲魚全沛膠囊
4111	濟生	2025	Q10緊緻嫩白面膜二片
4114	健喬	2025	身可補維他命發泡錠(食品)
4121	優盛	2025	佑全連鎖藥局50元禮物卡
4128	中天	2025	Exosome Essence 2000億外泌體精華液
4129	聯合	2025	電子行李秤(工信聯合骨)
4130	健亞	2025	硅藻土杯墊
4132	國鼎	2025	7-11商品卡50元
4133	亞諾法	2025	7-11商品卡35元
4138	曜亞	2025	CureCare安炫曜水光保濕精華面膜
4142	國光生	2025	7-11商品卡200元
4147	中裕	2025	7-11商品卡50元
4150	優你康	2025	全家禮物卡50元
4155	訊映	2025	訊映旗下產品折價券2000元
4160	訊聯基因	2025	Meta Exosome外泌體水光潤澤修護面膜
4162	智擎	2025	倍力莓
4163	鐿鈦	2025	筆記本支架
4167	松瑞藥	2025	沙威隆經典抗菌香皂80克二入
4168	醣聯	2025	廚房不鏽鋼料理剪刀
4171	瑞基	2025	宜睿好禮即享卡35元
4172	因華	2025	毛寶小蘇打洗衣皂晶球5顆
4173	久裕	2025	CureCare安炫曜水光保濕精華面膜
4174	浩鼎	2025	7-11商品卡50元
4174	浩鼎(臨)	2025	7-11商品卡50元
4195	基米	2025	極限野營登山扣環
4303	信立	2025	朝和生醫 夢之淵 旅行包
4306	炎洲	2025	7-11商品卡50元
4402	郡都開發	2025	7-11商品卡35元
4510	高鋒	2025	7-11商品卡50元
4513	福裕	2025	7-11商品卡50元
4523	永彰	2025	7-11中杯美式或現萃茶提貨卡
4530	宏易	2025	LED觸控發光筆
4533	協易機	2025	7-11商品卡35元
4540	全球傳動	2025	7-11中杯美式提貨卡
4541	晟田	2025	7-11商品卡35元
4543	萬在	2025	安妮兔玻璃胖胖瓶160ML
4552	力達-KY	2025	沙威隆經典抗菌香皂80克二入
4557	永新-KY	2025	黑白二稻 白米600克
4564	元翎	2025	洗碗精
4566	時碩工業	2025	環保手提袋(時碩)
4590	富田	2025	盈涼有餘保冰袋1個
4712	福格創新	2025	蜂王清新植感草本皂60克二入
4714	永捷	2025	朝和生醫 愛視泌EX金盞草外泌體複方膠囊(全素)乙包
4716	大立	2025	蜂王清新植感草本皂60克二入
4721	美琪瑪	2025	7-11商品卡50元
4728	雙美(臨)	2025	旋轉手機支架
4735	豪展	2025	7-11商品卡50元
4739	康普	2025	全家禮物卡35元
4743	合一	2025	Exosome Essence 2000億外泌體精華液
4744	皇將	2025	全家禮物卡50元
4746	台耀	2025	7-11中杯美式或現萃茶提貨卡
4749	新應材	2025	7-11商品卡50元
4754	國碳科	2025	酒精噴霧筆
4804	大略-KY	2025	全家禮物卡50元
4806	桂田文創	2025	精神旺盛 牛樟芝菌絲體X薑黃精粹飲30ml(食品)
4903	聯光通	2025	常健順暢益生菌(2入)
