股號	股名	年份	紀念品
5272	笙科	2025	全家禮物卡50元
5283	禾聯碩(臨)	2025	7-11商品卡100元
5283	禾聯碩	2025	伊莎貝爾無患子抗菌清潔組
5289	宜鼎	2025	7-11商品卡50元
5309	系統	2025	碗筷2件套禮盒
5315	光聯	2025	我的一畝田白米 600克
5328	華容	2025	7-11商品卡50元
5328	華容	2025	充電式磁吸感應燈
5351	鈺創	2025	全家禮物卡50元
5355	佳總	2025	木漿棉百潔擦
5356	協益	2025	萊爾富商品卡35元
5371	中光電	2025	真空包裝米(心苑米600克)
5386	青雲	2025	伊莎貝爾櫻花沐浴皂75克二入
5392	能率	2025	稻回皂 100克
5398	慕康生醫	2025	7-11商品卡50元
5410	國眾	2025	7-11中杯美式或現萃茶提貨卡
5425	台半	2025	宜睿好禮即享券50元
5438	東友	2025	全家經典中杯美式咖啡券
5439	高技	2025	7-11商品卡50元
5443	均豪	2025	折疊矽膠咖啡杯
5452	佶優	2025	全家禮物卡35元
5460	同協	2025	魔乾極超細纖維擦拭布
5471	松翰	2025	全家禮物卡50元
5475	德宏	2025	木槳清潔棉
5478	智冠	2025	MyCard點數卡100點 2025
5481	新華	2025	超商35元商品卡
5483	中美晶	2025	川本家耐熱玻璃盤
5484	慧友	2025	白人牙膏40克
5488	松普	2025	蜂王清新植感草本皂60克二入
5490	同亨	2025	7-11商品卡50元
5498	凱崴	2025	毛寶好無比 超淨亮 洗衣精500ml
5512	力麒	2025	老媽拌麵(單包裝)
5521	工信	2025	電子行李秤(工信聯合骨)
5536	聖暉*	2025	7-11商品卡50元
5603	陸海	2025	伊莎貝爾櫻花沐浴皂75克二入
5608	四維航	2025	全家禮物卡35元
5609	中菲行	2025	手機環
5701	劍湖山	2025	566果萃維生素洗髮露
5706	鳳凰	2025	鳳凰旅遊證件收納袋
5863	瑞興銀	2025	紳士襪
5905	南仁湖	2025	小墾丁渡假村300元住宿抵用券 2025
6005	群益證	2025	群益深奇震動按摩器
6015	宏遠證	2025	仙人掌工具組
6015	宏遠證	2025	抽屜式快充數據收納組
6016	康和證	2025	7-11商品卡50元
6026	福邦證	2025	伊莎貝爾櫻花沐浴皂75克三入組
6104	創惟	2025	7-11商品卡50元
6108	競國	2025	7-11商品卡35元
6109	亞元	2025	7-11商品卡50元
6111	大宇資	2025	7-11商品卡50元
6111	大宇資(臨)	2025	全家禮物卡50元
6116	彩晶	2025	7-11商品卡50元
6120	達運	2025	7-11商品卡35元
6122	擎邦	2025	七件式修容組
6125	廣運	2025	7-11商品卡35元
6126	信音	2025	三折自動傘(顏色隨機)
6127	九豪	2025	全家禮物卡35元
6129	普誠	2025	全家禮物卡50元
6130	上亞科技(臨)	2025	7-11商品卡100元
6130	上亞科技	2025	沙威隆經典抗菌香皂80克二入
6136	富爾特	2025	芙彤園 舒眠/森淨 香氛精油噴霧30ML(隨機出貨)
6136	富爾特	2025	芙彤園 檸檬滾珠按摩精油
6138	茂達	2025	7-11商品卡50元
6142	友勁	2025	滋補強身 甲魚全沛膠囊
6143	振曜	2025	7-11商品卡50元
6147	頎邦	2025	7-11商品卡50元
6147	頎邦	2025	環保材質運動涼感巾
6148	驊宏資	2025	多功能觸控原子筆
6150	撼訊	2025	氣密保鮮罐0.57L
6151	晉倫	2025	伊莎貝爾櫻花沐浴皂75克一顆
6152	百一	2025	香皂旅行組
6153	嘉聯益	2025	指甲剪(含皮套)
