代號,名稱,股價,PER
4167,松瑞藥,19.9,11.57
8072,陞泰,29.6,
1423,利華,40.4,9.27
6235,華孚,45.7,15.76
2070,精湛,45.65,19.85
2008,高興昌,27.4,40.29
6174,安碁,27.5,41.67
5512,力麒,7.84,49.0
1789,神隆,21.9,128.82
2369,菱生,30.6,0.0
6806,森崴能源,24.65,0.0
2616,山隆,15.45,0.0
1308,亞聚,15.25,0.0
3236,千如,35.25,110.16
6504,南六,41.45,0.0
6908,宏碁遊戲-創,41.55,28.85
5906,台南-KY,49.3,50.31
6244,茂迪,28.8,205.71
6185,幃翔,14.05,63.86
3232,昱捷,22.6,77.93
3465,進泰電子,34.2,855.0
1313,聯成,12.2,0.0
1541,錩泰,25.2,10.86
6113,亞矽,22.9,0.0
2642,宅配通,23.0,0.0
3594,磐儀,47.0,95.92
1783,和康生,41.75,14.1
1517,利奇,11.2,0.0
3059,華晶科,37.65,30.61
1304,台聚,14.55,0.0
1324,地球,11.25,0.0
4744,皇將,32.0,12.75
6609,瀧澤科,38.8,0.0
5011,久陽,14.65,0.0
6179,亞通,24.4,488.0
1711,永光,47.95,0.0
2630,亞航,49.3,49.3
4155,訊映,13.4,23.51
9944,新麗,16.7,0.0
4120,友華,47.35,0.0
4510,高鋒,47.05,0.0
6968,萬達寵物,46.6,18.94
2365,昆盈,34.9,109.06
6233,旺玖,25.95,0.0
1309,台達化,19.6,0.0
2536,宏普,22.35,7.01
3060,銘異,30.25,0.0
4416,三圓,15.1,0.0
6603,富強鑫,25.45,41.72
9902,台火,14.8,0.0
1454,台富,13.3,0.0
2002,中鋼,20.1,0.0
5523,豐謙,30.5,0.0
6234,高僑,32.95,659.0
3021,鴻名,16.4,49.7
1110,東泥,15.85,44.03
4130,健亞,32.5,325.0
1587,吉茂,34.4,92.97
3040,遠見,44.7,144.19
1809,中釉,27.2,143.16
8110,華東,48.3,19.71
8289,泰藝,49.65,1241.25
1614,三洋電,32.3,33.3
2468,華經,34.9,27.92
5392,能率,39.0,0.0
6272,驊陞,32.55,10.64
8222,寶一,37.85,68.82
1410,南染,30.8,52.2
6167,久正,14.2,0.0
2901,欣欣,23.55,61.97
6916,華凌,18.9,0.0
4190,佐登-KY,27.0,0.0
4555,氣立,41.05,205.25
2483,百容,22.95,38.25
3564,其陽,42.65,65.62
3615,安可,34.9,42.56
6692,進能服,32.05,139.35
1305,華夏,14.9,0.0
1810,和成,18.5,370.0
8921,沈氏,17.0,0.0
3516,亞帝歐,19.95,73.89
3354,律勝,28.15,0.0
4556,旭然,32.75,35.6
2704,國賓,43.35,76.05
2331,精英,21.8,15.46
9919,康那香,14.8,0.0
1414,東和,16.55,78.81
6165,浪凡,45.2,10.94
1586,和勤,22.75,0.0
